"","x"
"1",-1.19560673851986
"2",-1.31173923629201
"3",0.21384624682915
"4",0.838665099102941
"5",0.376924549627963
"6",-0.921070139053157
"7",-1.47601264086763
"8",-1.31173923629201
"9",0.216634952689153
"10",-0.733294002885494
"11",-0.980630918359024
"12",1.20057575928136
"13",-1.31173923629201
"14",0.472219597326696
"16",-1.31173923629201
"17",-1.04322144135326
"18",-1.31173923629201
"19",2.50331987735324
"20",0.21384624682915
"21",0.37554790163717
"22",-1.31173923629201
"23",-1.31173923629201
"24",0.0795742585606611
"25",2.4827390787789
"26",-1.19560673851986
"27",0.818540265246511
"28",-0.594687778584338
"29",-1.04322144135326
"30",-0.921070139053157
"31",0.818540265246511
"32",1.6831913930137
"33",1.36799415991798
"34",-1.04322144135326
"35",1.17761373543392
