"","x"
"1",2.02048858710935
"2",-0.462338307335368
"3",0.0632989562298566
"4",3.0393968216352
"5",1.36892133030162
"6",0.472783077430261
"7",1.29739398043432
"8",-0.462338307335368
"9",1.4572600716592
"10",2.9581940269539
"11",0.539819554332553
"12",0.678120500235551
"13",-0.462338307335368
"14",0.942057353129129
"16",-0.462338307335368
"17",-0.241497663790408
"18",-0.462338307335368
"19",1.91652915574105
"20",0.0632989562298566
"21",4.31850059338358
"22",-0.462338307335368
"23",-0.462338307335368
"24",2.39811701624719
"25",2.06979871429581
"26",2.02048858710935
"27",0.200117568293936
"28",0.581456446521429
"29",-0.241497663790408
"30",0.472783077430261
"31",0.200117568293936
"32",2.48926583918085
"33",0.873851057691527
"34",-0.241497663790408
"35",0.855594118069487
